Date,Open,High,Low,Close,Volume
2006-08-31,4.45,5.11,4.7,5,288672
2006-09-01,5,4.75,4.75,4.75,10668
2006-09-04,4.75,5.05,5,5,90000
2006-09-05,5,5,4.75,5,284067
2006-09-06,5,5.08,5.05,5.08,31900
2006-09-07,5.08,5.1,5.08,5.1,102462
2006-09-08,5.1,5,5,5,2000
2006-09-11,5,5.1,5,5.01,124299
2006-09-12,5.01,5.1,4.91,5.1,88265
2006-09-13,5.1,5.2,5.2,5.2,2000
2006-09-14,5.2,5.5,5.1,5.1,238380
2006-09-15,5.1,5.5,5.1,5.5,28790
2006-09-18,5.5,5.5,5.5,5.5,8125
2006-09-19,5.5,6,5.55,6,110300
2006-09-20,6,6,6,6,100000
2006-09-21,6,6.01,6.01,6.01,200
2006-09-22,6.01,6.02,6.02,6.02,34739
2006-09-25,6.02,6.03,6.03,6.03,4674
2006-09-26,6.03,6.5,6.03,6.5,52800
2006-09-27,6.5,6.55,6.5,6.55,8400
2006-09-28,6.55,6.61,6.6,6.6,9097
2006-09-29,6.6,7,6.65,7,151517
2006-10-02,7,7,6.9,7,106565
2006-10-03,7,7,6.7,6.9,135325
2006-10-04,6.9,6.99,6.85,6.99,18911
2006-10-05,6.99,7,6.98,6.99,30737
2006-10-06,6.99,6.99,6.97,6.97,23578
2006-10-09,6.97,6.97,6.65,6.65,50865
2006-10-10,6.65,6.65,6.65,6.65,29217
2006-10-11,6.65,6.6,6.52,6.52,126579
